"gene","experiment"
"LIPA","L500_1"
"LOXL1","L500_1"
"LPAR2","L500_1"
"LPGAT1","L500_1"
"LRP10","L500_1"
"LRRC41","L500_1"
"LSM5","L500_1"
"LSM6","L500_1"
"LSR","L500_1"
"LYN","L500_1"
"LYPLA1","L500_1"
"LYRM1","L500_1"
"MACF1","L500_1"
"MALT1","L500_1"
"MAMLD1","L500_1"
"MAN2B1","L500_1"
"MAP2K5","L500_1"
"YTHDF1","L500_1"
"ZDHHC6","L500_1"
"ZFP36","L500_1"
"ZMIZ1","L500_1"
"ZMYM2","L500_1"
"ZNF131","L500_1"
"MAP3K4","L500_2"
"MAP4K4","L500_2"
"MAP7","L500_2"
"MAPK13","L500_2"
"MAPK1IP1L","L500_2"
"MAPK9","L500_2"
"MAPKAPK2","L500_2"
"MAPKAPK3","L500_2"
"MAPKAPK5","L500_2"
"MAST2","L500_2"
"MAT2A","L500_2"
"MBNL1","L500_2"
"MBNL2","L500_2"
"MBOAT7","L500_2"
"MBTPS1","L500_2"
"MCM3","L500_2"
"MCOLN1","L500_2"
"MCUR1","L500_2"
"ME2","L500_2"
"MEF2C","L500_2"
"MELK","L500_2"
"MEST","L500_2"
"METRN","L500_2"
"MFSD10","L500_2"
"MICALL1","L500_2"
"MIF","L500_2"
"MINDY1","L500_2"
"MKNK1","L500_2"
"MLEC","L500_2"
"MLLT11","L500_2"
"MMP1","L500_2"
"MMP2","L500_2"
"MNAT1","L500_2"
"MOK","L500_2"
"MPC2","L500_2"
"MPZL1","L500_2"
"MRPL12","L500_2"
"MRPL19","L500_2"
"MRPS16","L500_2"
"MRPS2","L500_2"
"MSH6","L500_2"
"MSRA","L500_2"
"MTA1","L500_2"
"MTERF3","L500_2"
"MTF2","L500_2"
"MTFR1","L500_2"
"MTHFD2","L500_2"
"MUC1","L500_2"
"MVP","L500_2"
"MYBL2","L500_2"
"MYC","L500_2"
"MYCBP","L500_2"
"MYCBP2","L500_2"
"MYL9","L500_2"
"MYLK","L500_2"
"MYO10","L500_2"
"NCAPD2","L500_2"
"NCK1","L500_2"
"NCK2","L500_2"
"NCOA3","L500_2"
"NENF","L500_2"
"NET1","L500_2"
"NFATC3","L500_2"
"NFATC4","L500_2"
"NFE2L2","L500_2"
"NFIL3","L500_2"
"NFKB2","L500_2"
"NFKBIA","L500_2"
"NFKBIB","L500_2"
"NFKBIE","L500_2"
"NGRN","L500_2"
"NIPSNAP1","L500_2"
"NIT1","L500_2"
"NMT1","L500_2"
"NNT","L500_2"
"NOL3","L500_2"
"NOLC1","L500_2"
"NOS3","L500_2"
"NOSIP","L500_2"
"NOTCH1","L500_2"
"NPC1","L500_2"
"NPDC1","L500_2"
"NPEPL1","L500_2"
"NPRL2","L500_2"
"NR1H2","L500_2"
"NR2F6","L500_2"
"NR3C1","L500_2"
"NRAS","L500_2"
"NRIP1","L500_2"
"NSDHL","L500_2"
"NT5DC2","L500_2"
"NUCB2","L500_2"
"NUDCD3","L500_2"
"NUDT9","L500_2"
"NUP133","L500_2"
"NUP62","L500_2"
"NUP85","L500_2"
"NUP88","L500_2"
"NUP93","L500_2"
"NUSAP1","L500_2"
"NVL","L500_2"
"ORC1","L500_2"
"OXA1L","L500_2"
"OXCT1","L500_2"
"OXSR1","L500_2"
"P4HA2","L500_2"
"P4HTM","L500_2"
"PACSIN3","L500_2"
"PAF1","L500_2"
"PAFAH1B1","L500_2"
"PAFAH1B3","L500_2"
"PAICS","L500_2"
"PAK1","L500_2"
"PAK4","L500_2"
"PAK6","L500_2"
"PAN2","L500_2"
"PARP1","L500_2"
"PARP2","L500_2"
"PAX8","L500_2"
"PCBD1","L500_2"
"PCCB","L500_2"
"PCK2","L500_2"
"PCM1","L500_2"
"PCMT1","L500_2"
"PCNA","L500_2"
"PDGFA","L500_2"
"PDHX","L500_2"
"PDIA5","L500_2"
"PDLIM1","L500_2"
"PDS5A","L500_2"
"PECR","L500_2"
"PEX11A","L500_2"
"PFKL","L500_2"
"PGAM1","L500_2"
"PGM1","L500_2"
"PGRMC1","L500_2"
"PHGDH","L500_2"
"PHKA1","L500_2"
"PHKB","L500_2"
"PHKG2","L500_2"
"PIGB","L500_2"
"PIH1D1","L500_2"
"PIK3C2B","L500_2"
"PIK3C3","L500_2"
"PIK3CA","L500_2"
